Time	yVcScHv_BatteryVoltage_DOC	yVcScHv_DcLinkVoltage_DOC	yVcScHv_IsolationResistance_DOC	yVcScHv_CrashSignal_DOC	yVcScHv_DriveEnable_DOC	yVcScHv_ChargeEnable_DOC	yVcScHv_ContactorFeedback_DOC	yVcScHv_PrechargeFeedback_DOC	yVcScHv_Command_DOC	DVcScHv_InvalidChannels_D	yVcScHv_ElapsedPrecharge_DOC	yVcScHv_PrechargeRequest_DOC	yVcScHv_MainRequest_DOC
0.0	0	0	0	1	0	0	0	0	0	8	0	0	0
0.01	0	0	0	1	0	0	0	0	0	8	0	0	0
0.02	0	0	0	1	0	0	0	0	0	8	0	0	0
0.03	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.04	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.05	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.06	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.07	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.08	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.09	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.1	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.11	0	0	0	1	0	0	0	0	0	8	0	0	0
0.12	0	0	0	1	0	0	0	0	0	8	0	0	0
0.13	0	0	0	1	0	0	0	0	0	8	0	0	0
0.14	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.15	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.16	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.17	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.18	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.19	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.2	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.21	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.22	0	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.23	0	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.24	0	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.25	0	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.26	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.27	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.28	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.29	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.3	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.31	0	0	0	1	0	0	0	0	0	8	0	0	0
0.32	0	0	0	1	0	0	0	0	0	8	0	0	0
0.33	0	0	0	1	0	0	0	0	0	8	0	0	0
0.34	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.35	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.36	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.37	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.38	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.39	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.4	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.41	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.42	1000	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.43	1000	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.44	1000	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.45	1000	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.46	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.47	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.48	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.49	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.5	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.51	0	0	0	1	0	0	0	0	0	8	0	0	0
0.52	0	0	0	1	0	0	0	0	0	8	0	0	0
0.53	0	0	0	1	0	0	0	0	0	8	0	0	0
0.54	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.55	400	395	500000	0	0	0	1	1	0	0	0	0	0
0.56	400	395	500000	0	1	0	1	1	1	0	0	1	0
0.57	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.58	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.59	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.6	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.61	400	395	500000	0	1	0	1	1	2	0	0.009999999776482582	0	1
0.62	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.63	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.64	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.65	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.66	0	395	500000	0	1	0	1	1	3	1	0	0	0
0.67	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.68	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.69	400	395	500000	0	1	0	1	1	3	0	0	0	0
0.7	400	395	500000	0	1	0	1	1	3	0	0	0	0
